Rank,Name,8-Year Graduation Rate,Number of Pell Graduates,Pell Performance Rank,Earnings Performance Rank,Net Price of Attendance for Families Below $75k Income,Social Mobility Rank,Research Rank,Service Rank,Admission Rate,Enrollment,Share of White Students,In-State Tuition Fee,Out-of-State Tuition Fee,Median Earnings of Students,Note: 
26,CA State University–Fresno (CA)*,69%,2185,25,39,4631,10,382,49,0.9728,21826.0,0.167,6653.0,18533.0,55534.0,
27,Washington Univ. in St. Louis (MO),93%,113,140,98,5961,30,24,243,0.13,7713.0,0.4639,58866.0,58866.0,90646.0,
28,Dartmouth College (NH),96%,138,101,19,8734,17,32,318,0.0617,4533.0,0.4972,60870.0,60870.0,95540.0,
29,CA State Univ.–San Bernardino (CA)*,70%,1989,19,45,4841,7,350,190,0.9097,16595.0,0.1083,7213.0,19093.0,55258.0,
30,National Louis University (IL),53%,223,35,10,14435,14,397,47,0.9704,3485.0,0.157,11505.0,11505.0,44968.0,
31,Northwestern University (IL),95%,294,91,207,5481,44,20,276,0.9628,7513.0,0.5231,8672.0,19460.0,44550.0,
32,University of Chicago (IL),94%,150,178,425,5139,127,19,12,0.788,22011.0,0.2467,14126.0,28476.0,64108.0,
33,Arizona State University (AZ)*,65%,3543,48,225,10184,65,54,20,0.8819,64216.0,0.4637,11348.0,29438.0,58967.0,
34,University of MN–Twin Cities (MN)*,81%,1578,139,353,9529,82,22,82,,,,,,,No data found
35,California Institute of Tech. (CA),93%,24,172,209,6101,60,4,432,,521.0,0.1689,19190.0,19190.0,41049.0,
36,University of Central Florida (FL)*,72%,5166,68,379,7107,20,105,163,0.3637,59710.0,0.4504,6368.0,22467.0,54850.0,
37,VA Polytech. Inst. & State Univ. (VA)*,85%,898,366,88,14708,78,51,21,0.5647,29699.0,0.6132,14174.0,33857.0,77621.0,
38,Carnegie Mellon University (PA),85%,181,127,12,16852,73,35,68,0.1354,6880.0,0.2334,58924.0,58924.0,111064.0,
39,Utah State University (UT)*,54%,961,34,28,11219,46,120,28,0.9263,20516.0,0.8333,8960.0,24080.0,52764.0,
40,George Washington University (DC),81%,304,370,31,17440,115,88,3,0.4971,10929.0,0.5043,59870.0,59870.0,87548.0,
41,Boston College (MA),92%,296,329,14,12980,34,133,83,,264.0,0.3864,22144.0,22144.0,64359.0,
42,University of Virginia (VA)*,94%,524,288,151,11742,68,46,79,0.2074,17041.0,0.5479,19244.0,53626.0,80584.0,
43,Brown University (RI),96%,250,239,245,6794,63,36,182,0.5287,1381.0,0.7147,28924.0,28924.0,54964.0,
44,Rutgers University–Newark (NJ)*,72%,850,11,18,11903,9,177,366,0.7743,8066.0,0.2031,15208.0,32409.0,69748.0,
45,Michigan State University (MI)*,81%,1738,305,72,9644,51,47,183,0.8325,38424.0,0.6778,14750.0,40562.0,64566.0,
46,Florida Atlantic University (FL)*,61%,2372,113,215,7362,26,174,154,0.7801,23695.0,0.39,4879.0,17324.0,53644.0,
47,University of Southern CA (CA),93%,1183,145,114,16527,64,43,175,,559.0,0.3059,,,110178.0,
48,Wake Forest University (NC),89%,115,388,58,8337,57,89,50,0.2518,5465.0,0.6767,59770.0,59770.0,81964.0,
49,CA State University–Long Beach (CA)*,80%,3279,45,262,7429,13,318,284,0.4685,33765.0,0.1591,6846.0,18726.0,60973.0,
50,Emory University (GA),92%,411,115,405,11773,130,33,32,0.1305,7050.0,0.3479,55468.0,55468.0,81802.0,
51,Syracuse University (NY),82%,867,364,22,19697,74,131,15,0.5919,14515.0,0.5445,57591.0,57591.0,74446.0,
52,Lehigh University (PA),89%,169,235,5,16834,22,99,310,0.4597,5446.0,0.61,57470.0,57470.0,100559.0,
53,University of South FL–Main (FL)*,73%,3094,90,427,5916,61,70,119,0.4938,36681.0,0.4673,6410.0,17324.0,54364.0,
54,Florida State University (FL)*,81%,2401,227,399,7205,56,71,137,0.3707,33368.0,0.5788,5656.0,18786.0,57007.0,
55,University of MO–Columbia (MO)*,69%,1110,182,149,12500,161,84,4,0.6316,1087.0,0.7783,33250.0,33250.0,52319.0,
56,Univ. of California–Merced (CA)*,70%,714,3,74,10971,27,129,289,0.866,8321.0,0.0812,13657.0,43411.0,63365.0,
57,University of Illinois–Chicago (IL)*,67%,1864,10,166,10941,36,81,283,0.788,22011.0,0.2467,14126.0,28476.0,64108.0,
58,University of Utah (UT)*,70%,1384,114,67,11882,83,45,142,,8796.0,0.7514,5862.0,16986.0,43180.0,
59,Purdue University–Main (IN)*,76%,1161,298,294,5961,124,27,112,0.6881,37658.0,0.6276,9992.0,28794.0,68414.0,
60,Univ. of TX–Rio Grande Valley (TX)*,56%,2257,2,131,3724,21,349,260,,,,,,,No data found
61,SUNY Albany (NY)*,66%,1163,100,57,15236,66,115,65,0.6799,12556.0,0.4328,10408.0,28248.0,63760.0,
